"","Site","Plot","Quadrant","Species","Cover","Year","Introduced_status","SLA","Height","SeedMass"
"1","Boothby","NW322","1","Vicia faba","100","2022","Introduced","27.2542857142857","0.6427","855.3375"
"2","Boothby","NW322","2","Vicia faba","100","2022","Introduced","27.2542857142857","0.6427","855.3375"
"3","Boothby","NW322","3","Vicia faba","85","2022","Introduced","27.2542857142857","0.6427","855.3375"
"4","Boothby","NW322","4","Vicia faba","95","2022","Introduced","27.2542857142857","0.6427","855.3375"
"5","Boothby","NW311","1","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"6","Boothby","NW311","1","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"7","Boothby","NW311","2","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"8","Boothby","NW311","2","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"9","Boothby","NW311","3","Triticum aestivum","95","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"10","Boothby","NW311","3","Triticum aestivum","95","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"11","Boothby","NW311","4","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"12","Boothby","NW311","4","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"13","Boothby","NW333","1","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"14","Boothby","NW333","1","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"15","Boothby","NW333","1","Geranium lucidum","0.1","2022","Native","27.425","0.203125","0.475"
"16","Boothby","NW333","1","Geranium lucidum","0.1","2022","Native","27.425","0.203125","0.475"
"17","Boothby","NW333","1","Geranium lucidum","0.1","2022","Native","27.425","0.203125","0.475"
"18","Boothby","NW333","1","Geranium lucidum","0.1","2022","Native","27.425","0.203125","0.475"
"19","Boothby","NW333","2","Triticum aestivum","90","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"20","Boothby","NW333","2","Triticum aestivum","90","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"21","Boothby","NW333","3","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"22","Boothby","NW333","3","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"23","Boothby","NW333","4","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"24","Boothby","NW333","4","Triticum aestivum","100","2022","Introduced","22.7166666666667","1.05454545454545","37.0176923076923"
"25","Boothby","NW133","1","Arrhenatherum elatius","10","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"26","Boothby","NW133","1","Arrhenatherum elatius","10","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"27","Boothby","NW133","1","Arrhenatherum elatius","10","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"28","Boothby","NW133","1","Arrhenatherum elatius","10","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"29","Boothby","NW133","1","Phleum pratense","5","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"30","Boothby","NW133","1","Phleum pratense","5","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"31","Boothby","NW133","1","Phleum pratense","5","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"32","Boothby","NW133","1","Dactylis glomerata","1","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"33","Boothby","NW133","1","Dactylis glomerata","1","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"34","Boothby","NW133","1","Dactylis glomerata","1","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"35","Boothby","NW133","1","Dactylis glomerata","1","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"36","Boothby","NW133","1","Centaurea nigra","4","2022","Native","25.2104347826087","0.46875","2.43444444444444"
"37","Boothby","NW133","1","Centaurea nigra","4","2022","Native","25.2104347826087","0.46875","2.43444444444444"
"38","Boothby","NW133","1","Centaurea nigra","4","2022","Native","25.2104347826087","0.46875","2.43444444444444"
"39","Boothby","NW133","1","Rubus fruticosus","35","2022","Native","15.78375","1.82875","2.295"
"40","Boothby","NW133","1","Rubus fruticosus","35","2022","Native","15.78375","1.82875","2.295"
"41","Boothby","NW133","1","Rubus fruticosus","35","2022","Native","15.78375","1.82875","2.295"
"42","Boothby","NW133","1","Rubus fruticosus","35","2022","Native","15.78375","1.82875","2.295"
"43","Boothby","NW133","1","Rubus fruticosus","35","2022","Native","15.78375","1.82875","2.295"
"44","Boothby","NW133","1","Vicia tetrasperma","10","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"45","Boothby","NW133","1","Vicia tetrasperma","10","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"46","Boothby","NW133","1","Vicia tetrasperma","10","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"47","Boothby","NW133","1","Lotus corniculatus","0.1","2022","Native","22.0211194113235","0.165488888888889","1.21033653731343"
"48","Boothby","NW133","1","Lotus corniculatus","0.1","2022","Native","22.0211194113235","0.165488888888889","1.21033653731343"
"49","Boothby","NW133","1","Lotus corniculatus","0.1","2022","Native","22.0211194113235","0.165488888888889","1.21033653731343"
"50","Boothby","NW133","1","Lotus corniculatus","0.1","2022","Native","22.0211194113235","0.165488888888889","1.21033653731343"
"51","Boothby","NW133","2","Arrhenatherum elatius","15","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"52","Boothby","NW133","2","Arrhenatherum elatius","15","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"53","Boothby","NW133","2","Arrhenatherum elatius","15","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"54","Boothby","NW133","2","Arrhenatherum elatius","15","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"55","Boothby","NW133","2","Phleum pratense","10","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"56","Boothby","NW133","2","Phleum pratense","10","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"57","Boothby","NW133","2","Phleum pratense","10","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"58","Boothby","NW133","2","Agrostis capillaris","3","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"59","Boothby","NW133","2","Agrostis capillaris","3","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"60","Boothby","NW133","2","Agrostis capillaris","3","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"61","Boothby","NW133","2","Agrostis capillaris","3","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"62","Boothby","NW133","2","Centaurea nigra","10","2022","Native","25.2104347826087","0.46875","2.43444444444444"
"63","Boothby","NW133","2","Centaurea nigra","10","2022","Native","25.2104347826087","0.46875","2.43444444444444"
"64","Boothby","NW133","2","Centaurea nigra","10","2022","Native","25.2104347826087","0.46875","2.43444444444444"
"65","Boothby","NW133","2","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"66","Boothby","NW133","2","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"67","Boothby","NW133","2","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"68","Boothby","NW133","2","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"69","Boothby","NW133","2","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"70","Boothby","NW133","2","Vicia tetrasperma","10","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"71","Boothby","NW133","2","Vicia tetrasperma","10","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"72","Boothby","NW133","2","Vicia tetrasperma","10","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"73","Boothby","NW133","2","Trisetum flavescens","0.1","2022","Native","22.6092905778947","0.492666666666667","0.4592"
"74","Boothby","NW133","2","Trisetum flavescens","0.1","2022","Native","22.6092905778947","0.492666666666667","0.4592"
"75","Boothby","NW133","2","Trisetum flavescens","0.1","2022","Native","22.6092905778947","0.492666666666667","0.4592"
"76","Boothby","NW133","2","Cirsium dissectum","1","2022","Native","18.4553846153846","0.45","2.37"
"77","Boothby","NW133","2","Cirsium dissectum","1","2022","Native","18.4553846153846","0.45","2.37"
"78","Boothby","NW133","2","Cirsium dissectum","1","2022","Native","18.4553846153846","0.45","2.37"
"79","Boothby","NW133","2","Cynosurus cristatus","1","2022","Native","22.9468112889474","0.433525272727273","0.493052923076923"
"80","Boothby","NW133","2","Cynosurus cristatus","1","2022","Native","22.9468112889474","0.433525272727273","0.493052923076923"
"81","Boothby","NW133","2","Cynosurus cristatus","1","2022","Native","22.9468112889474","0.433525272727273","0.493052923076923"
"82","Boothby","NW133","3","Arrhenatherum elatius","5","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"83","Boothby","NW133","3","Arrhenatherum elatius","5","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"84","Boothby","NW133","3","Arrhenatherum elatius","5","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"85","Boothby","NW133","3","Arrhenatherum elatius","5","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"86","Boothby","NW133","3","Phleum pratense","5","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"87","Boothby","NW133","3","Phleum pratense","5","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"88","Boothby","NW133","3","Phleum pratense","5","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"89","Boothby","NW133","3","Dactylis glomerata","0.5","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"90","Boothby","NW133","3","Dactylis glomerata","0.5","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"91","Boothby","NW133","3","Dactylis glomerata","0.5","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"92","Boothby","NW133","3","Dactylis glomerata","0.5","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"93","Boothby","NW133","3","Agrostis capillaris","5","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"94","Boothby","NW133","3","Agrostis capillaris","5","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"95","Boothby","NW133","3","Agrostis capillaris","5","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"96","Boothby","NW133","3","Agrostis capillaris","5","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"97","Boothby","NW133","3","Trisetum flavescens","0.1","2022","Native","22.6092905778947","0.492666666666667","0.4592"
"98","Boothby","NW133","3","Trisetum flavescens","0.1","2022","Native","22.6092905778947","0.492666666666667","0.4592"
"99","Boothby","NW133","3","Trisetum flavescens","0.1","2022","Native","22.6092905778947","0.492666666666667","0.4592"
"100","Boothby","NW133","3","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"101","Boothby","NW133","3","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"102","Boothby","NW133","3","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"103","Boothby","NW133","3","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"104","Boothby","NW133","3","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"105","Boothby","NW133","3","Vicia tetrasperma","15","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"106","Boothby","NW133","3","Vicia tetrasperma","15","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"107","Boothby","NW133","3","Vicia tetrasperma","15","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"108","Boothby","NW133","3","Picris echioides","0.5","2022","Native","35.7777777777778","0.425","1.31"
"109","Boothby","NW133","4","Arrhenatherum elatius","10","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"110","Boothby","NW133","4","Arrhenatherum elatius","10","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"111","Boothby","NW133","4","Arrhenatherum elatius","10","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"112","Boothby","NW133","4","Arrhenatherum elatius","10","2022","Native","30.2525991922669","1.04941666666667","2.87263636363636"
"113","Boothby","NW133","4","Phleum pratense","15","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"114","Boothby","NW133","4","Phleum pratense","15","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"115","Boothby","NW133","4","Phleum pratense","15","2022","Native","23.682393905122","0.312243243243243","0.378785714285714"
"116","Boothby","NW133","4","Dactylis glomerata","0.1","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"117","Boothby","NW133","4","Dactylis glomerata","0.1","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"118","Boothby","NW133","4","Dactylis glomerata","0.1","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"119","Boothby","NW133","4","Dactylis glomerata","0.1","2022","Native","25.6180945078378","0.27101383","0.846644654545455"
"120","Boothby","NW133","4","Agrostis capillaris","5","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"121","Boothby","NW133","4","Agrostis capillaris","5","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"122","Boothby","NW133","4","Agrostis capillaris","5","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"123","Boothby","NW133","4","Agrostis capillaris","5","2022","Native","32.7332496245946","0.281833333333333","0.0651619047619048"
"124","Boothby","NW133","4","Centaurea nigra","15","2022","Native","25.2104347826087","0.46875","2.43444444444444"
"125","Boothby","NW133","4","Centaurea nigra","15","2022","Native","25.2104347826087","0.46875","2.43444444444444"
"126","Boothby","NW133","4","Centaurea nigra","15","2022","Native","25.2104347826087","0.46875","2.43444444444444"
"127","Boothby","NW133","4","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"128","Boothby","NW133","4","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"129","Boothby","NW133","4","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"130","Boothby","NW133","4","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"131","Boothby","NW133","4","Rubus fruticosus","50","2022","Native","15.78375","1.82875","2.295"
"132","Boothby","NW133","4","Vicia tetrasperma","8","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"133","Boothby","NW133","4","Vicia tetrasperma","8","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"134","Boothby","NW133","4","Vicia tetrasperma","8","2022","Native","31.8964966933333","0.384375","4.24571428571429"
"135","Boothby","NW133","4","Picris echioides","8","2022","Native","35.7777777777778","0.425","1.31"
"136","Boothby","NW113","1","Vicia faba","95","2022","Introduced","27.2542857142857","0.6427","855.3375"
"137","Boothby","NW113","1","Chenopodium album","2","2022","Native","22.8641729198214","1.41235294117647","0.703453780487805"
"138","Boothby","NW113","1","Chenopodium album","2","2022","Native","22.8641729198214","1.41235294117647","0.703453780487805"
"139","Boothby","NW113","2","Vicia faba","100","2022","Introduced","27.2542857142857","0.6427","855.3375"
"140","Boothby","NW113","2","Chenopodium album","4","2022","Native","22.8641729198214","1.41235294117647","0.703453780487805"
