"","species","Height"
"1","Vicia faba","0.6427"
"2","Triticum aestivum","1.05454545454545"
"3","Geranium lucidum","0.203125"
"4","Arrhenatherum elatius","1.04941666666667"
"5","Phleum pratense","0.312243243243243"
"6","Dactylis glomerata","0.27101383"
"7","Centaurea nigra","0.46875"
"8","Rubus fruticosus","1.82875"
"9","Vicia tetrasperma","0.384375"
"10","Lotus corniculatus","0.165488888888889"
"11","Agrostis capillaris","0.281833333333333"
"12","Trisetum flavescens","0.492666666666667"
"13","Cirsium dissectum","0.45"
"14","Cynosurus cristatus","0.433525272727273"
"15","Picris echioides","0.425"
"16","Chenopodium album","1.41235294117647"
"17","Fallopia convolvulus","0.695833333333333"
"18","Brachypodium sylvaticum","0.84375"
"19","Glechoma hederacea","0.2425"
"20","Urtica dioica","0.480761904761905"
"21","Poa trivialis","0.3117125"
"22","Senecio sylvaticus","0.663142857142857"
"23","Aethusa cynapium","0.490625"
"24","Bromus hordeaceus","0.136945598425197"
"25","Succisa pratensis","0.126055555555556"
"26","Daucus carota","0.450307692307692"
"27","Trifolium repens","0.131202595238095"
"28","Agrostis stolonifera","0.27823525"
"29","Trifolium dubium","0.491946225806452"
"30","Veronica chamaedrys","0.2471875"
"31","Lamium album","0.313090909090909"
"32","Mercurialis perennis","0.244444444444444"
"33","Rumex sanguineus","0.745"
"34","Chaerophyllum temulum","0.515625"
"35","Ranunculus repens","0.253909090909091"
"36","Deschampsia cespitosa","0.223133333333333"
"37","Hordeum vulgare","0.655354444444444"
"38","Tripleurospermum inodorum","0.6"
"39","Prunella vulgaris","0.157670307692308"
"40","Senecio jacobaea","0.686793103448276"
"41","Carex flacca","0.271527777777778"
"42","Acer campestre","13.1394736842105"
"43","Cirsium arvense","0.780030272727273"
"44","Senecio vulgaris","0.422068965517241"
"45","Viola arvensis","0.196875"
"46","Lolium perenne","0.215441571428571"
"47","Rumex obtusifolius","0.606916666666667"
"48","Galium aparine","0.724702416666667"
"49","Holcus lanatus","0.319950142857143"
"50","Quercus robur","17.30856"
"51","Carpinus betulus","10.5819047619048"
"52","Geum urbanum","0.352272727272727"
"53","Festuca pratensis","0.46075"
"54","Convolvulus arvensis","0.207454545454545"
"55","Lotus glaber","0.227418918918919"
"56","Taraxacum officinale","0.2625"
"57","Phleum bertolonii","0.242666666666667"
"58","Cerastium fontanum","0.355158512820513"
"59","Geranium dissectum","0.276666666666667"
"60","Rumex crispus","0.616544833333333"
"61","Myosotis laxa","0.205416666666667"
"62","Picea abies","4.13277967857459"
"63","Prunus padus","8.14285714285714"
"64","Crataegus monogyna","6.40343177777778"
"65","Rumex conglomeratus","0.725"
"66","Epilobium montanum","0.394444444444444"
"67","Malus sylvestris","6.26676666666667"
"68","Epilobium parviflorum","0.466666666666667"
"69","Cirsium vulgare","0.895469428571429"
"70","Lolium multiflorum","0.39375"
"71","Anthriscus sylvestris","0.833333333333333"
"72","Bromopsis ramosa","0.322189894555209"
"73","Anisantha sterilis","0.322189894555209"
"74","Poa pratensis","0.345505428571429"
"75","Salix aurita","1.61454545454545"
"76","Pulicaria dysenterica","0.45"
"77","Leucanthemum vulgare","0.34590625"
"78","Torilis japonica","0.575"
"79","Elymus repens","0.65500725"
"80","Poa annua","0.165017714285714"
"81","Lolium giganteum","0.271818183673469"
"82","Prunus spinosa","2.308"
"83","Geranium rotundifolium","0.184375"
"84","Atriplex patula","0.946428571428571"
"85","Matricaria chamomilla","0.235"
"86","Primula veris","0.155555555555556"
"87","Matricaria discoidea","0.175"
"88","Sonchus arvensis","1.165"
"89","Epilobium angustifolium","0.678545454545455"
"90","Heracleum mantegazzianum","3.7"
"91","Epilobium ciliatum","0.855"
"92","Senecio aureus","0.8"
"93","Alopecurus pratensis","0.349456392857143"
"94","Hordeum murinum","0.21810101010101"
"95","Deschampsia flexuosa","0.109583333333333"
"96","Rumex acetosa","0.135473684210526"
"97","Brassica napus","0.955"
"98","Helminthotheca echioides","0.431684009410609"
"99","Capsella bursa-pastoris","0.167777777777778"
"100","Juncus effusus","0.796701285714286"
"101","Vicia sativa","0.696686666666667"
"102","Phragmites australis","2.1386"
"103","Crepis capillaris","0.174422222222222"
"104","Fraxinus excelsior","19.955"
"105","Stellaria media","0.204737769230769"
"106","Crepis vesicaria","0.253166666666667"
"107","Festuca myuros","0.277351265822785"
"108","Plantago major","0.253048407411111"
"109","Polygonum aviculare","0.7525"
"110","Fagus sylvatica","23.9347058823529"
"111","Myosotis secunda","0.32"
"112","Sonchus asper","0.70125"
"113","Poa nemoralis","0.625"
"114","Hedera helix","12.57559525"
"115","Geranium columbinum","0.2875"
"116","Lonicera periclymenum","4.0625"
"117","Geranium robertianum","0.27012125"
"118","Potentilla sterilis","0.0761111111111111"
"119","Angelica sylvestris","0.972222222222222"
"120","Pteridium aquilinum","1.13571428571429"
"121","Corylus avellana","4.14457575757576"
"122","Calluna vulgaris","0.779285714285714"
"123","Ilex aquifolium","11.7487684827586"
"124","Sorbus aucuparia","8.70430268589744"
"125","Geranium pusillum","0.1818"
"126","Hypochaeris radicata","0.3262"
"127","Stellaria graminea","0.2949"
"128","Calystegia sepium","1.48181818181818"
"129","Cardamine pratensis","0.327857142857143"
"130","Galium palustre","0.455357142857143"
"131","Lycopus europaeus","0.6"
"132","Lathyrus nissolia","0.366666666666667"
"133","Rosa arvensis","1.0625"
"134","Salix caprea","7.43835"
"135","Juncus inflexus","0.3388"
"136","Lotus pedunculatus","0.341666666666667"
"137","Hordeum secalinum","0.325"
"138","Potentilla reptans","0.365625"
"139","Ranunculus acris","0.278068181818182"
"140","Mentha arvensis","0.305555555555556"
"141","Salix fragilis","13.3501846153846"
"142","Mentha aquatica","0.466666666666667"
"143","Oenanthe crocata","0.8"
"144","Veronica arvensis","0.123"
"145","Epilobium tetragonum","0.465625"
"146","Sherardia arvensis","0.14375"
"147","Carex sylvatica","0.425"
"148","Circaea lutetiana","0.3775"
"149","Parentucellia viscosa","0.22"
"150","Crepis paludosa","0.45"
"151","Viola riviniana","0.155"
"152","Hypericum perforatum","0.472923076923077"
"153","Rubus ulmifolius","1.25"
"154","Impatiens noli-tangere","0.44375"
"155","Veronica serpyllifolia","0.163888888888889"
"156","Epilobium palustre","0.325"
"157","Carex remota","0.45"
"158","Juncus conglomeratus","0.731428571428571"
"159","Plantago lanceolata","0.2055435"
"160","Vulpia bromoides","0.251"
"161","Rosa canina","1.64"
"162","Cardamine hirsuta","0.1595"
"163","Festuca rubra","0.17227027027027"
"164","Odontites vernus","0.275"
"165","Senecio erucifolius","0.675"
"166","Leontodon hispidus","0.0632303921558824"
"167","Cerastium arvense","0.470085714285714"
"168","Agrimonia eupatoria","0.313560606060909"
"169","Ervum tetraspermum","10.4321402340772"
"170","Rosa dumalis","1.88"
"171","Hyacinthoides non-scripta","0.2175"
"172","Acer pseudoplatanus","16.100989010989"
"173","Fumaria officinalis","0.52"
"174","Lathyrus pratensis","0.548636363636364"
"175","Chamaenerion angustifolium","0.587014218009479"
"176","Atropa belladonna","1"
"177","Quercus petraea","36.3909090909091"
"178","Vinca major","0.293333333333333"
"179","Primula vulgaris","0.115"
"180","Cardamine flexuosa","0.25"
"181","Persicaria hydropiper","0.6"
"182","Arum maculatum","0.259166666666667"
"183","Centaurea scabiosa","0.396850838709677"
"184","Carex canescens","0.325"
"185","Vicia sepium","0.516666666666667"
"186","Alliaria petiolata","0.561111111111111"
"187","Lapsana communis","0.507472571428571"
"188","Salix cinerea","2.275"
"189","Stellaria holostea","0.283333333333333"
"190","Prunus avium","14.5529384883721"
"191","Iris pseudacorus","0.75"
