"","Site","Plot","Quadrant","Species","Cover","Year","SLA","Height","SeedMass","Introduced_status","Majortriad","Minortriad","Beta_contrib_major","Beta_contrib_minor","Beta_contrib_plot"
"1","Boothby","NW322","1","Vicia faba",100,"2022",27.2542857142857,0.6427,855.3375,"Introduced","NW3","2",0.182077993416721,0.499935930291106,NA
"2","Boothby","NW322","2","Vicia faba",100,"2022",27.2542857142857,0.6427,855.3375,"Introduced","NW3","2",0.182077993416721,0.499935930291106,NA
"3","Boothby","NW322","3","Vicia faba",85,"2022",27.2542857142857,0.6427,855.3375,"Introduced","NW3","2",0.182077993416721,0.499935930291106,NA
"4","Boothby","NW322","4","Vicia faba",95,"2022",27.2542857142857,0.6427,855.3375,"Introduced","NW3","2",0.182077993416721,0.499935930291106,NA
"5","Boothby","NW311","1","Triticum aestivum",100,"2022",22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3","1",0.242188146005383,0.499807823716946,NA
"6","Boothby","NW311","1","Triticum aestivum",100,"2022",22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3","1",0.242188146005383,0.499807823716946,NA
"7","Boothby","NW311","2","Triticum aestivum",100,"2022",22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3","1",0.242188146005383,0.499807823716946,NA
"8","Boothby","NW311","2","Triticum aestivum",100,"2022",22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3","1",0.242188146005383,0.499807823716946,NA
"9","Boothby","NW311","3","Triticum aestivum",95,"2022",22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3","1",0.242188146005383,0.499807823716946,NA
"10","Boothby","NW311","3","Triticum aestivum",95,"2022",22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3","1",0.242188146005383,0.499807823716946,NA
"11","Boothby","NW311","4","Triticum aestivum",100,"2022",22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3","1",0.242188146005383,0.499807823716946,NA
"12","Boothby","NW311","4","Triticum aestivum",100,"2022",22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3","1",0.242188146005383,0.499807823716946,NA
"13","Boothby","NW333","1","Triticum aestivum",100,"2022",22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3","3",0.242188146005383,0.499807823716946,NA
"14","Boothby","NW333","1","Triticum aestivum",100,"2022",22.7166666666667,1.05454545454545,37.0176923076923,"Introduced","NW3","3",0.242188146005383,0.499807823716946,NA
