Date,Plot_id,Quadrant,Species,Cover,
08/06/2018,1111,4,Prunus virginiana,12,
08/06/2018,1111,4,Symphoricarpos oreophilus,0,
08/06/2018,1111,4,Lathyrus pauciflorus,0,
08/06/2018,1111,4,Chrysothamnus viscidiflorus,0,
08/06/2018,1111,4,Achillea millefolium,8,
08/06/2018,1111,4,Maianthemum stellatum,0,
08/06/2018,1111,4,Lithophragma parviflorum,5,
08/06/2018,1111,4,Claytonia perfoliata,22,
08/06/2018,1111,4,Collinsia parviflora,1,
08/06/2018,1111,4,Agastache urticifolia,5,
08/06/2018,1111,4,Lactuca serriola,5,
08/06/2018,1111,4,Tragopogon dubius,4,
08/06/2018,1111,4,Nemophila breviflora,6,
08/06/2018,1111,4,Galium aparine,1,
08/06/2018,1111,4,Taraxacum officinale,2,
08/06/2018,1111,4,Pseudostellaria jamesiana,0,
08/06/2018,1111,4,Poa pratensis,0.5,
08/06/2018,1111,4,Bromus carinatus,2,
08/06/2018,1111,4,Erigeron speciosus,5,
08/06/2018,1111,4,Collomia linearis,2,
08/06/2018,1111,4,Symphoricarpos oreophilus,0,
08/06/2018,1111,4,organic matter,12,
08/06/2018,1111,4,Berberis repens,0,
08/06/2018,1111,4,Poa pratensis,0,
08/06/2018,1111,3,Prunus virginiana,0,
08/06/2018,1111,3,Symphoricarpos oreophilus,9,
08/06/2018,1111,3,Lathyrus pauciflorus,13,
08/06/2018,1111,3,Chrysothamnus viscidiflorus,0,
08/06/2018,1111,3,Achillea millefolium,15,
08/06/2018,1111,3,Maianthemum stellatum,2,
08/06/2018,1111,3,Lithophragma parviflorum,5,
08/06/2018,1111,3,Claytonia perfoliata,40,
08/06/2018,1111,3,Collinsia parviflora,6,
08/06/2018,1111,3,Agastache urticifolia,0,
08/06/2018,1111,3,Lactuca serriola,9,
08/06/2018,1111,3,Tragopogon dubius,5,
08/06/2018,1111,3,Nemophila breviflora,3,
08/06/2018,1111,3,Galium aparine,0,
08/06/2018,1111,3,Taraxacum officinale,0,
08/06/2018,1111,3,Pseudostellaria jamesiana,0,
08/06/2018,1111,3,Poa pratensis,0,
08/06/2018,1111,3,Bromus carinatus,2,
08/06/2018,1111,3,Erigeron speciosus,9,
08/06/2018,1111,3,Collomia linearis,4,
08/06/2018,1111,3,Symphoricarpos oreophilus,0,
08/06/2018,1111,3,organic matter,4,
08/06/2018,1111,3,Berberis repens,0,
08/06/2018,1111,3,Poa pratensis,0,
08/06/2018,1111,2,Prunus virginiana,0,
08/06/2018,1111,2,Symphoricarpos oreophilus,45,
08/06/2018,1111,2,Lathyrus pauciflorus,8,
08/06/2018,1111,2,Chrysothamnus viscidiflorus,0,
08/06/2018,1111,2,Achillea millefolium,10,
08/06/2018,1111,2,Maianthemum stellatum,14,
08/06/2018,1111,2,Lithophragma parviflorum,1,
08/06/2018,1111,2,Claytonia perfoliata,30,
08/06/2018,1111,2,Collinsia parviflora,5,
08/06/2018,1111,2,Agastache urticifolia,0,
08/06/2018,1111,2,Lactuca serriola,4,
08/06/2018,1111,2,Tragopogon dubius,0,
08/06/2018,1111,2,Nemophila breviflora,7,
08/06/2018,1111,2,Galium aparine,0,
08/06/2018,1111,2,Taraxacum officinale,3,
08/06/2018,1111,2,Pseudostellaria jamesiana,2,
08/06/2018,1111,2,Poa pratensis,0,
08/06/2018,1111,2,Bromus carinatus,0,
08/06/2018,1111,2,Erigeron speciosus,3,
08/06/2018,1111,2,Collomia linearis,5,
08/06/2018,1111,2,Symphoricarpos oreophilus,5,
08/06/2018,1111,2,organic matter,2,
08/06/2018,1111,2,Berberis repens,6,
08/06/2018,1111,2,Poa pratensis,1,
08/06/2018,1111,1,Prunus virginiana,20,
08/06/2018,1111,1,Symphoricarpos oreophilus,25,
08/06/2018,1111,1,Lathyrus pauciflorus,15,
08/06/2018,1111,1,Chrysothamnus viscidiflorus,35,
08/06/2018,1111,1,Achillea millefolium,3,
08/06/2018,1111,1,Maianthemum stellatum,18,
08/06/2018,1111,1,Lithophragma parviflorum,1,
08/06/2018,1111,1,Claytonia perfoliata,25,
08/06/2018,1111,1,Collinsia parviflora,1,
08/06/2018,1111,1,Agastache urticifolia,0,
08/06/2018,1111,1,Lactuca serriola,5,
08/06/2018,1111,1,Tragopogon dubius,4,
08/06/2018,1111,1,Nemophila breviflora,8,
08/06/2018,1111,1,Galium aparine,0,
08/06/2018,1111,1,Taraxacum officinale,0,
08/06/2018,1111,1,Pseudostellaria jamesiana,1,
08/06/2018,1111,1,Poa pratensis,0,
08/06/2018,1111,1,Bromus carinatus,1,
08/06/2018,1111,1,Erigeron speciosus,0,
08/06/2018,1111,1,Collomia linearis,2,
08/06/2018,1111,1,Symphoricarpos oreophilus,2,
08/06/2018,1111,1,organic matter,0,
08/06/2018,1111,1,Berberis repens,0,
08/06/2018,1111,1,Poa pratensis,1,
08/06/2018,1122,4,Crepis acuminata,7,
08/06/2018,1122,4,Tragopogon dubius,0,
08/06/2018,1122,4,Alyssum desertorum,0.5,
08/06/2018,1122,4,Lactuca serriola,0.5,
08/06/2018,1122,4,Poa bulbosa,11,
08/06/2018,1122,4,Poa pratensis,0.5,
08/06/2018,1122,4,Bromus tectorum,0.5,
08/06/2018,1122,4,Elymus trachycaulus,3,
08/06/2018,1122,4,Poa bulbosa,1,
08/06/2018,1122,4,browsed yellow,0.5,
08/06/2018,1122,4,soil,8,
08/06/2018,1122,4,rock,8,
08/06/2018,1122,4,moss,10,
08/06/2018,1122,4,Poa bulbosa,60,
08/06/2018,1122,4,Poa secunda,0.5,
08/06/2018,1122,3,Crepis acuminata,12,
08/06/2018,1122,3,Tragopogon dubius,3,
08/06/2018,1122,3,Alyssum desertorum,1,
08/06/2018,1122,3,Lactuca serriola,0.5,
08/06/2018,1122,3,Poa bulbosa,8,
08/06/2018,1122,3,Poa pratensis,0,
08/06/2018,1122,3,Bromus tectorum,0,
